,N,Model,Time
,40,EII,0.006981134
1,80,EII,0.001170158
2,160,EII,0.015612125
3,320,EII,0.046837091
4,640,EII,0.165930033
5,1280,EII,0.701887131
6,2560,EII,1.96165204
7,5120,EII,2.037727833
8,10240,EII,2.135456085
9,20480,EII,2.812921047
10,40960,EII,3.375274897
11,81920,EII,4.132840872
12,163840,EII,6.278421879
13,327680,EII,10.74861884
14,655360,EII,19.96405196
15,1310720,EII,33.40930295
16,40,VII,0
17,80,VII,0.015585899
18,160,VII,0.025825024
19,320,VII,0.061872005
20,640,VII,0.194981098
21,1280,VII,0.681411982
22,2560,VII,1.987411022
23,5120,VII,2.039690018
24,10240,VII,2.227185965
25,20480,VII,2.509296179
26,40960,VII,3.163012028
27,81920,VII,3.986688852
28,163840,VII,6.281728983
29,327680,VII,11.7663691
30,655360,VII,19.96523094
31,1310720,VII,36.96243691
32,40,EEI,0
33,80,EEI,0.015624046
34,160,EEI,0.021457911
35,320,EEI,0.04798317
36,640,EEI,0.152014017
37,1280,EEI,0.665827036
38,2560,EEI,1.987344027
39,5120,EEI,2.320271015
40,10240,EEI,2.200564146
41,20480,EEI,2.494755983
42,40960,EEI,3.310964108
43,81920,EEI,4.477768183
44,163840,EEI,6.668921947
45,327680,EEI,11.39925313
46,655360,EEI,22.00158596
47,1310720,EEI,41.81000805
48,40,VEI,0.015650988
49,80,VEI,0.017950058
50,160,VEI,0.006099939
51,320,VEI,0.062487125
52,640,VEI,0.197401047
53,1280,VEI,0.661468029
54,2560,VEI,1.983524084
55,5120,VEI,2.060024977
56,10240,VEI,2.207921982
57,20480,VEI,2.535169125
58,40960,VEI,3.293638945
59,81920,VEI,4.692346096
60,163840,VEI,6.847543955
61,327680,VEI,12.91028905
62,655360,VEI,24.63114715
63,1310720,VEI,42.07661796
64,40,EVI,0
65,80,EVI,0
66,160,EVI,0.03124404
67,320,EVI,0.063159943
68,640,EVI,0.231604099
69,1280,EVI,0.673659801
70,2560,EVI,2.136240959
71,5120,EVI,2.092601061
72,10240,EVI,2.195754051
73,20480,EVI,2.573892832
74,40960,EVI,3.127609968
75,81920,EVI,4.696936846
76,163840,EVI,7.856972933
77,327680,EVI,12.34155703
78,655360,EVI,23.88499188
79,1310720,EVI,46.68775892
80,40,VVI,0
81,80,VVI,0.019508123
82,160,VVI,0.019727945
83,320,VVI,0.070683002
84,640,VVI,0.171010971
85,1280,VVI,0.69404006
86,2560,VVI,1.989485979
87,5120,VVI,2.038865805
88,10240,VVI,2.283535957
89,20480,VVI,2.421967983
90,40960,VVI,3.108378172
91,81920,VVI,4.31208396
92,163840,VVI,6.701385975
93,327680,VVI,12.14661598
94,655360,VVI,22.76739097
95,1310720,VVI,41.75613999
96,40,EEE,0
97,80,EEE,0.015622139
98,160,EEE,0.033335924
99,320,EEE,0.050981045
100,640,EEE,0.171621084
101,1280,EEE,0.690927982
102,2560,EEE,2.101641893
103,5120,EEE,2.216522932
104,10240,EEE,2.477140188
105,20480,EEE,3.135435104
106,40960,EEE,4.447092056
107,81920,EEE,6.61780405
108,163840,EEE,11.86778998
109,327680,EEE,21.3425622
110,655360,EEE,40.63075805
111,1310720,EEE,80.6004312
112,40,EVE,0.031212807
113,80,EVE,0.034438133
114,160,EVE,0.093726873
115,320,EVE,0.093729019
116,640,EVE,0.221779108
117,1280,EVE,0.752899885
118,2560,EVE,2.16049099
119,5120,EVE,2.289883137
120,10240,EVE,2.679718971
121,20480,EVE,3.363783836
122,40960,EVE,5.129502058
123,81920,EVE,7.786090851
124,163840,EVE,13.55377603
125,327680,EVE,25.71855497
126,655360,EVE,54.94574308
127,1310720,EVE,94.68162513
128,40,VEE,0.018209934
129,80,VEE,0.005034924
130,160,VEE,0.046864033
131,320,VEE,0.078135967
132,640,VEE,0.203107834
133,1280,VEE,0.726308107
134,2560,VEE,2.168140888
135,5120,VEE,2.245287895
136,10240,VEE,2.546627045
137,20480,VEE,3.187602043
138,40960,VEE,5.072915077
139,81920,VEE,6.897135973
140,163840,VEE,12.51277113
141,327680,VEE,24.41336489
142,655360,VEE,43.95837402
143,1310720,VEE,82.203444
144,40,VVE,0.031236172
145,80,VVE,0.046869993
146,160,VVE,0.103534937
147,320,VVE,0.078109026
148,640,VVE,0.272285938
149,1280,VVE,0.800657988
150,2560,VVE,2.231618166
151,5120,VVE,2.517382145
152,10240,VVE,2.618957996
153,20480,VVE,3.227072954
154,40960,VVE,4.618393183
155,81920,VVE,7.247024059
156,163840,VVE,12.6634798
157,327680,VVE,23.86442089
158,655360,VVE,45.192729
159,1310720,VVE,87.98954511
160,40,EEV,0.015619993
161,80,EEV,0.017375946
162,160,EEV,0.022718906
163,320,EEV,0.082875967
164,640,EEV,0.213660955
165,1280,EEV,0.741072178
166,2560,EEV,2.06708312
167,5120,EEV,2.255412817
168,10240,EEV,2.559290886
169,20480,EEV,3.30495882
170,40960,EEV,4.523155928
171,81920,EEV,7.312432051
172,163840,EEV,13.02680397
173,327680,EEV,24.77417612
174,655360,EEV,47.52095699
175,1310720,EEV,105.8708942
176,40,VEV,0.009973049
177,80,VEV,0.014960051
178,160,VEV,0.038896084
179,320,VEV,0.084774017
180,640,VEV,0.226394892
181,1280,VEV,0.737030983
182,2560,VEV,2.163213968
183,5120,VEV,2.387635946
184,10240,VEV,2.665872097
185,20480,VEV,3.475708961
186,40960,VEV,5.199131012
187,81920,VEV,7.973682165
188,163840,VEV,20.74059391
189,327680,VEV,23.78903794
190,655360,VEV,50.92470694
191,1310720,VEV,104.2286758
192,40,EVV,0.009974957
193,80,EVV,0.018955946
194,160,EVV,0.03490591
195,320,EVV,0.113694906
196,640,EVV,0.223402977
197,1280,EVV,0.795905113
198,2560,EVV,2.631963015
199,5120,EVV,2.414513111
200,10240,EVV,2.84938097
201,20480,EVV,3.559483051
202,40960,EVV,5.356646776
203,81920,EVV,8.920119047
204,163840,EVV,13.50090909
205,327680,EVV,25.8209641
206,655360,EVV,54.04733396
207,1310720,EVV,92.56776905
208,40,VVV,0.007975817
209,80,VVV,0.011966944
210,160,VVV,0.041888952
211,320,VVV,0.083804846
212,640,VVV,0.222404003
213,1280,VVV,0.765951872
214,2560,VVV,2.112385988
215,5120,VVV,2.37764287
216,10240,VVV,2.556195974
217,20480,VVV,3.146588087
218,40960,VVV,4.407217026
219,81920,VVV,7.01723814
220,163840,VVV,11.56704378
221,327680,VVV,22.04705596
222,655360,VVV,41.01231408
223,1310720,VVV,86.30233121
